"id","toa","threshold","infectiousness","susceptibility","school","cohort","sch_type"
"102.102_102313",NA,NA,NA,NA,NA,NA,NA
"102.102_102314",4,0,0,0,NA,NA,NA
"102.102_102320",NA,NA,NA,NA,NA,NA,NA
"102.102_102321",NA,NA,NA,NA,NA,NA,NA
"102.102_102325",NA,NA,NA,NA,NA,NA,NA
"102.102_102327",NA,NA,NA,NA,NA,NA,NA
"102.102_102331",NA,NA,NA,NA,NA,NA,NA
"102.102_102332",NA,NA,NA,NA,NA,NA,NA
"102.102_102334",NA,NA,NA,NA,NA,NA,NA
"102.102_102335",NA,NA,NA,NA,NA,NA,NA
"102.102_102336",NA,NA,NA,NA,NA,NA,NA
"102.102_102337",NA,NA,NA,NA,NA,NA,NA
"102.102_102342",NA,NA,NA,NA,NA,NA,NA
"102.102_102344",NA,NA,NA,NA,NA,NA,NA
"102.102_102345",NA,NA,NA,NA,NA,NA,NA
"102.102_102346",6,0,0,0,NA,NA,NA
"102.102_102347",NA,NA,NA,NA,NA,NA,NA
"102.102_102348",NA,NA,NA,NA,NA,NA,NA
"102.102_102351",NA,NA,NA,NA,NA,NA,NA
"102.102_102352",NA,NA,NA,NA,NA,NA,NA
"102.102_102353",NA,NA,NA,NA,NA,NA,NA
"102.102_102354",2,0,0,0,NA,NA,NA
"102.102_102355",NA,NA,NA,NA,NA,NA,NA
"102.102_102363",NA,NA,NA,NA,NA,NA,NA
"102.102_102368",NA,NA,NA,NA,NA,NA,NA
"102.102_102369",NA,NA,NA,NA,NA,NA,NA
"102.102_102371",5,0,0,0,NA,NA,NA
"102.102_102372",NA,NA,NA,NA,NA,NA,NA
"102.102_102374",NA,NA,NA,NA,NA,NA,NA
"102.102_102376",5,0,0,0,NA,NA,NA
"102.102_102377",NA,NA,NA,NA,NA,NA,NA
"102.102_102378",NA,NA,NA,NA,NA,NA,NA
"102.102_102380",NA,NA,NA,NA,NA,NA,NA
"102.102_102381",NA,NA,NA,NA,NA,NA,NA
"102.102_102384",3,0,0,0,NA,NA,NA
"102.102_102387",NA,NA,NA,NA,NA,NA,NA
"102.102_102392",NA,NA,NA,NA,NA,NA,NA
"102.102_102394",NA,NA,NA,NA,NA,NA,NA
"102.102_102398",NA,NA,NA,NA,NA,NA,NA
"102.102_102400",NA,NA,NA,NA,NA,NA,NA
"102.102_102402",5,0,0,0,NA,NA,NA
"102.102_102404",NA,NA,NA,NA,NA,NA,NA
"102.102_102405",NA,NA,NA,NA,NA,NA,NA
"102.102_102407",NA,NA,NA,NA,NA,NA,NA
"102.102_102411",NA,NA,NA,NA,NA,NA,NA
"102.102_102413",NA,NA,NA,NA,NA,NA,NA
"102.102_102414",NA,NA,NA,NA,NA,NA,NA
"102.102_102415",NA,NA,NA,NA,NA,NA,NA
"102.102_102417",NA,NA,NA,NA,NA,NA,NA
"102.102_102419",NA,NA,NA,NA,NA,NA,NA
"102.102_102422",NA,NA,NA,NA,NA,NA,NA
"102.102_102424",NA,NA,NA,NA,NA,NA,NA
"102.102_102426",NA,NA,NA,NA,NA,NA,NA
"102.102_102427",5,0,0,0,NA,NA,NA
"102.102_102429",NA,NA,NA,NA,NA,NA,NA
"102.102_102432",NA,NA,NA,NA,NA,NA,NA
"102.102_102433",3,0,0,0,NA,NA,NA
"102.102_102435",NA,NA,NA,NA,NA,NA,NA
"102.102_102441",NA,NA,NA,NA,NA,NA,NA
"102.102_102442",NA,NA,NA,NA,NA,NA,NA
"102.102_102445",NA,NA,NA,NA,NA,NA,NA
"102.102_102449",NA,NA,NA,NA,NA,NA,NA
"102.102_102451",NA,NA,NA,NA,NA,NA,NA
"102.102_102454",NA,NA,NA,NA,NA,NA,NA
"102.102_102457",NA,NA,NA,NA,NA,NA,NA
"102.102_102458",8,0,0,0,NA,NA,NA
"102.102_102459",NA,NA,NA,NA,NA,NA,NA
"102.102_102460",NA,NA,NA,NA,NA,NA,NA
"102.102_102464",NA,NA,NA,NA,NA,NA,NA
"102.102_102465",NA,NA,NA,NA,NA,NA,NA
"102.102_102466",NA,NA,NA,NA,NA,NA,NA
"102.102_102467",NA,NA,NA,NA,NA,NA,NA
"102.102_102468",NA,NA,NA,NA,NA,NA,NA
"102.102_102470",NA,NA,NA,NA,NA,NA,NA
"102.102_102471",NA,NA,NA,NA,NA,NA,NA
